"","variable","Td.obs","ci.low","ci.upp","t1","t2"
"1","Scotland death","2.8","2.4","3.7",2020-03-21,2020-03-28
"2","London cases","4.9","4.7","5.0",2020-03-21,2020-03-28
"3","Scotland cases","4.0","3.8","4.2",2020-03-21,2020-03-28
"4","Rest of UK cases","3.5","3.5","3.6",2020-03-21,2020-03-28
"5","Ayrshire cases","3.3","2.5","3.7",2020-03-21,2020-03-28
"6","Borders cases","3.9","2.9","4.9",2020-03-21,2020-03-28
"7","Dumfries and Galloway cases","3.2","2.8","3.5",2020-03-21,2020-03-28
"8","Fife cases","3.5","2.7","4.7",2020-03-21,2020-03-28
"9","Forth Valley cases","4.1","3.5","4.6",2020-03-21,2020-03-28
"10","Grampian Shetland and Orkney cases","8.3","7.3","10.0",2020-03-21,2020-03-28
"11","Greater Glasgow and Clyde cases","3.9","3.6","4.3",2020-03-21,2020-03-28
"12","Highland and Western Isles cases","3.2","2.2","4.4",2020-03-21,2020-03-28
"13","Lanarkshire cases","4.0","3.6","4.7",2020-03-21,2020-03-28
"14","Lothian cases","3.9","3.5","4.5",2020-03-21,2020-03-28
"15","Tayside cases","4.2","3.3","4.8",2020-03-21,2020-03-28
