"","variable","Td.obs","ci.low","ci.upp","t1","t2"
"1","London deaths",9.3,8.7,9.9,2020-04-01,2020-04-08
"2","Scotland deaths",3,2.7,3.4,2020-04-01,2020-04-08
"3","Rest of UK deaths",3.3,3.3,3.4,2020-04-01,2020-04-08
"4","London cases",8.9,8.7,9.1,2020-04-01,2020-04-08
"5","Scotland cases",7.1,6.9,7.4,2020-04-01,2020-04-08
"6","Rest of UK cases",6.1,6,6.1,2020-04-01,2020-04-08
"7","Ayrshire cases",10.8,9.4,12.7,2020-04-01,2020-04-08
"8","Fife cases",5,4.3,5.7,2020-04-01,2020-04-08
"9","Forth Valley cases",8.2,7,9.6,2020-04-01,2020-04-08
"10","Grampian Shetland and Orkney cases",7.4,6.4,8.7,2020-04-01,2020-04-08
"11","Greater Glasgow and Clyde cases",7.9,7.4,8.5,2020-04-01,2020-04-08
"12","Lanarkshire cases",6.9,6.3,7.6,2020-04-01,2020-04-08
"13","Lothian cases",6,5.5,6.5,2020-04-01,2020-04-08
"14","Tayside cases",5.8,5.3,6.3,2020-04-01,2020-04-08
"15","Borders cases",8,6.7,9.7,2020-04-01,2020-04-08
"16","Highland and Western Isles cases",6.7,5.5,8.2,2020-04-01,2020-04-08
"17","Dumfries and Galloway cases",11.1,9,14,2020-04-01,2020-04-08
