"","variable","Td.obs","ci.low","ci.upp","t1","t2"
"1","Scotland death","3.4","2.4","4.7",2020-03-22,2020-03-29
"2","London cases","4.8","4.7","5.0",2020-03-22,2020-03-29
"3","Scotland cases","4.0","3.8","4.3",2020-03-22,2020-03-29
"4","Rest of UK cases","3.5","3.5","3.6",2020-03-22,2020-03-29
"5","Ayrshire cases","3.3","2.7","4.1",2020-03-22,2020-03-29
"6","Borders cases","3.2","2.3","4.2",2020-03-22,2020-03-29
"7","Dumfries and Galloway cases","3.5","2.7","4.6",2020-03-22,2020-03-29
"8","Fife cases","3.8","2.8","4.9",2020-03-22,2020-03-29
"9","Forth Valley cases","3.9","3.1","4.9",2020-03-22,2020-03-28
"10","Grampian Shetland and Orkney cases","7.6","6.0","9.9",2020-03-22,2020-03-29
"11","Greater Glasgow and Clyde cases","4.3","3.8","4.8",2020-03-22,2020-03-29
"12","Highland and Western Isles cases","2.9","2.1","4.1",2020-03-22,2020-03-29
"13","Lanarkshire cases","3.7","3.1","4.3",2020-03-22,2020-03-29
"14","Lothian cases","3.4","2.9","4.0",2020-03-22,2020-03-29
"15","Tayside cases","4.6","3.7","5.8",2020-03-22,2020-03-29
