"","variable","Td.obs","ci.low","ci.upp","t1","t2"
"1","Scotland death",2.9,2.5,3.3,2020-03-29,2020-04-05
"2","London cases",6.9,6.8,7.1,2020-03-29,2020-04-05
"3","Scotland cases",4.9,4.7,5.1,2020-03-29,2020-04-05
"4","Rest of UK cases",5,4.9,5.1,2020-03-29,2020-04-05
"5","Ayrshire cases",5.4,4.7,6.2,2020-03-29,2020-04-05
"6","Borders cases",5.1,4.2,6.2,2020-03-29,2020-04-05
"7","Dumfries and Galloway cases",6,5,7.2,2020-03-29,2020-04-05
"8","Fife cases",3.9,3.4,4.5,2020-03-29,2020-04-05
"9","Forth Valley cases",6,5.2,7,2020-03-28,2020-04-05
"10","Grampian Shetland and Orkney cases",5,4.4,5.7,2020-03-29,2020-04-05
"11","Greater Glasgow and Clyde cases",5.8,5.3,6.2,2020-03-29,2020-04-05
"12","Highland and Western Isles cases",5.4,4.4,6.8,2020-03-29,2020-04-05
"13","Lanarkshire cases",5.1,4.6,5.6,2020-03-29,2020-04-05
"14","Lothian cases",4.6,4.2,5.1,2020-03-29,2020-04-05
"15","Tayside cases",3.3,3,3.7,2020-03-29,2020-04-05
