"","variable","Td.obs","ci.low","ci.upp","t1","t2"
"1","London deaths","3.8","3.6","4.0",2020-03-25,2020-04-01
"2","Scotland deaths","4.8","3.7","6.4",2020-03-25,2020-04-01
"3","Rest of UK deaths","NA","NA","NA",2020-03-25,2020-04-01
"4","London cases","5.1","5.0","5.2",2020-03-25,2020-04-01
"5","Scotland cases","4.2","4.0","4.3",2020-03-25,2020-04-01
"6","Rest of UK cases","4.0","3.9","4.1",2020-03-25,2020-04-01
"7","Ayrshire cases","3.9","3.4","4.9",2020-03-25,2020-04-01
"8","Fife cases","4.1","3.4","4.5",2020-03-25,2020-04-01
"9","Forth Valley cases","5.7","4.8","6.1",2020-03-25,2020-04-01
"10","Grampian Shetland and Orkney cases","5.0","4.7","6.0",2020-03-25,2020-04-01
"11","Greater Glasgow and Clyde cases","4.6","4.2","4.9",2020-03-25,2020-04-01
"12","Lanarkshire cases","4.1","3.5","4.5",2020-03-25,2020-04-01
"13","Lothian cases","3.8","3.5","4.4",2020-03-25,2020-04-01
"14","Tayside cases","3.2","3.0","3.5",2020-03-25,2020-04-01
"15","Borders cases","2.8","2.6","3.4",2020-03-25,2020-04-01
"16","Highland and Western Isles cases","4.8","4.1","6.5",2020-03-25,2020-04-01
"17","Dumfries and Galloway cases","4.1","3.4","5.1",2020-03-25,2020-04-01
